Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
"2","0","Nykthos, Shrine to Nyx","The List","293","","","","","","","","","",""
"1","0","Nykthos, Shrine to Nyx","Theros","223","","","","","","","","","",""
"1","0","Boseiju, Who Endures","Kamigawa: Neon Dynasty","266","","","","","","","","","",""
"1","0","Craterhoof Behemoth","Secret Lair Drop Series","376","","","","","","","","","",""
"1","0","Ponder","Magic 2012","73","","","foil","","","","","","",""
"4","0","Windswept Heath","Khans of Tarkir","248","","","","","","","","","",""
"1","0","Sorin the Mirthless","Innistrad: Crimson Vow","297","","","","","","","","","",""
"1","0","Torment of Hailfire","Hour of Devastation","77","","","","","","","","","",""
"1","0","Agadeem's Awakening // Agadeem, the Undercrypt","Zendikar Rising","90","","","","","","","","","",""
"1","0","Drannith Magistrate","Ikoria: Lair of Behemoths","11","","","","","","","","","",""
"1","0","Temple Garden","Guilds of Ravnica","258","","","","","","","","","",""
"1","0","Baral, Chief of Compliance","Multiverse Legends","138","","","foil","","","","","","",""
"1","0","Vigor","Battlebond","215","","","","","","","","","",""
"1","0","Brazen Borrower // Petty Theft","Throne of Eldraine","39","","","","","","","","","",""
"2","0","Hallowed Fountain","Return to Ravnica","241","","","","","","","","","",""
"2","0","Stomping Ground","Ravnica Allegiance","259","","","","","","","","","",""
"1","0","Elvish Champion","Invasion","186","","","","","","","","","",""
"1","0","Guardian Project","Ravnica Allegiance","130","","","","","","","","","",""
"1","0","Leyline of the Void","Guildpact","52","","","","","","","","","",""
"1","0","Yavimaya, Cradle of Growth","Modern Horizons 2","261","","","","","","","","","",""
"1","0","Tribute to the World Tree","March of the Machine Promo Pack","211s","","","foil","","","","","","",""
"1","0","Jetmir's Garden","Streets of New Capenna","250","","","","","","","","","",""
"1","0","Aetherflux Reservoir","The Brothers' War Retro Artifacts","2","","","","","","","","","",""
"1","0","Leyline of the Void","Core Set 2020","107p","","","","","","","","","",""
"1","0","Nissa Revane","Zendikar","170","","","","","","","","","",""
"2","0","Chord of Calling","Double Masters","384","","","foil","","","","","","",""
"1","0","Magus of the Moon","Time Spiral Remastered","175","","","","","","","","","",""
"1","0","Tangle","Invasion","213","","","","","","","","","",""
"2","0","Chord of Calling","Magic 2015 Core Set","172","","","","","","","","","",""
"1","0","Sol Ring","Love Your LGS","1","","","foil","","","","","","",""
"1","0","Settle the Wreckage","Ixalan","34","","","foil","","","","","","",""
"3","0","Soul Spike","Coldsnap","70","","","","","","","","","",""
"1","0","Elvish Harbinger","Lorwyn","207","","","","","","","","","",""
"2","0","Pyroblast","Signature Spellbook: Chandra","5","","","","","","","","","",""
"1","0","Realmwalker","Kaldheim","399","","","foil","","","","","","",""
"1","0","Vandalblast","Innistrad: Crimson Vow Commander","152","","","","","","","","","",""
"1","0","Essence Warden","Commander Anthology","106","","","","","","","","","",""
"1","0","Ezuri, Renegade Leader","Scars of Mirrodin","119","","","","","","","","","",""
"1","0","Rhys the Redeemed","Shadowmoor","237","","","","","","","","","",""
"2","0","Gleeful Sabotage","Shadowmoor","116","","","foil","","","","","","",""
"1","0","Realmwalker","Kaldheim","188","","","","","","","","","",""
"1","0","Gaddock Teeg","Lorwyn","248","","","","","","","","","",""
"1","0","Gifted Aetherborn","Aether Revolt","61","","","foil","","","","","","",""
"1","0","Ezuri, Renegade Leader","The List","987","","","","","","","","","",""
"1","0","Murderous Rider // Swift End","Throne of Eldraine","287","","","foil","","","","","","",""
"1","0","Urabrask, Heretic Praetor","Streets of New Capenna","360","","","","","","","","","",""
"1","0","Lathril, Blade of the Elves","Kaldheim Commander","1","","","foil","","","","","","",""
"1","0","Fyndhorn Elves","From the Vault: Twenty","4","","","foil","","","","","","",""
"1","0","Ring of Three Wishes","Magic 2014 Core Set","216","","","","","","","","","",""
"4","0","Seachrome Coast","Scars of Mirrodin","229","","","","","","","","","",""
"4","0","Leaf-Crowned Visionary","Dominaria United","167","","","","","","","","","",""
"3","0","Fatal Push","Friday Night Magic","208","","","foil","","","","","","",""
"1","0","Heritage Druid","Eternal Masters","171","","","","","","","","","",""
"1","0","Reckless Stormseeker // Storm-Charged Slasher","Innistrad: Midnight Hunt","157","","","","","","","","","",""
"2","0","Mausoleum Wanderer","Eldritch Moon","69","","","","","","","","","",""
"1","0","Ribbons of the Reikai","Betrayers of Kamigawa","50","","","foil","","","","","","",""
"1","0","The Cruelty of Gix","Dominaria United","87","","","","","","","","","",""
"1","0","Cut Down","Dominaria United","432","","","foil","","","","","","",""
"3","0","Heritage Druid","Morningtide","126","","","","","","","","","",""
"1","0","Nirkana Revenant","Innistrad: Crimson Vow Commander","134","","","","","","","","","",""
"1","0","Beast Whisperer","Guilds of Ravnica","123","","","","","","","","","",""
"1","0","Keen Sense","Planar Chaos","152","","","","","","","","","",""
"1","0","Peer into the Abyss","Core Set 2021","117","","","foil","","","","","","",""
"1","0","Righteous Valkyrie","Kaldheim","24","","","","","","","","","",""
"1","0","Spellskite","Commander Legends: Battle for Baldur's Gate","873","","","","","","","","","",""
"1","0","Beast Whisperer","From Cute to Brute","25","","","","","","","","","",""
"2","0","Glacial Fortress","Ixalan","255","","","","","","","","","",""
"3","0","Mark of Asylum","Conflux","10","","","","","","","","","",""
"1","0","Mark of Asylum","Conflux","10","","Chinese","","","","","","","",""
"1","0","Chain Lightning","Premium Deck Series: Fire and Lightning","16","","","foil","","","","","","",""
"2","0","Beast Whisperer","Media Inserts","123","","","foil","","","","","","",""
"1","0","Collector Ouphe","The List","927","","","","","","","","","",""
"1","0","Desert",Time Spiral "Timeshifted","118","","","","","","","","","",""
"4","0","Great Furnace","Mirrodin","282","","","","","","","","","",""
"1","0","Primeval Herald","Jumpstart 2022","42","","","","","","","","","",""
"1","0","Nihil Spellbomb","Masters 25","226","","","foil","","","","","","",""
"2","0","Crashing Footfalls","Modern Horizons","160","","","","","","","","","",""
"2","0","Castle Locthwain","Throne of Eldraine","241","","","","","","","","","",""
"1","0","Halana and Alena, Partners","Innistrad: Crimson Vow","239","","","foil","","","","","","",""
"1","0","The World Tree","The List","1088","","","","","","","","","",""
"1","0","Blasphemous Act","Innistrad: Crimson Vow Commander","143","","","","","","","","","",""
"4","0","Deadly Dispute","Adventures in the Forgotten Realms","94","","","","","","","","","",""
"4","0","Temple of Enlightenment","Theros Beyond Death","349","","","","","","","","","",""
"1","0","Sanctum of Stone Fangs","Core Set 2021","120","","","foil","","","","","","",""
"1","0","Underworld Dreams","Magic 2010","115","","","","","","","","","",""
"1","0","Sheoldred's Edict","Phyrexia: All Will Be One","279","","","","","","","","","",""
"1","0","Temporary Lockdown","Dominaria United Promo Pack","36s","","","foil","","","","","","",""
"1","0","Ziatora, the Incinerator","Streets of New Capenna","231","","","","","","","","","",""
"1","0","Growth Spiral","Ravnica Allegiance","178","","","foil","","","","","","",""
"1","0","Murderous Rider // Swift End","Throne of Eldraine","97","","","foil","","","","","","",""
"2","0","Elvish Warmaster","Kaldheim","167","","","foil","","","","","","",""
"1","0","Katilda, Dawnhart Martyr // Katilda's Rising Dawn","Innistrad: Crimson Vow","21","","","","","","","","","",""
"1","0","Molten Echoes","Innistrad: Crimson Vow Commander","148","","","","","","","","","",""
"1","0","Elvish Promenade","Lorwyn","208","","","","","","","","","",""
"1","0","Faerie Macabre","Duel Decks Anthology, Garruk vs. Liliana","42","","","","","","","","","",""
"1","0","Fatal Push","Aether Revolt","57","","","","","","","","","",""
"1","0","Battlefield Forge","The Brothers' War","297","","","","","","","","","",""
"1","0","Temporary Lockdown","Dominaria United","36","","","","","","","","","",""
"1","0","Tyvar Kell","The List","992","","","","","","","","","",""
"1","0","Void Rend","Streets of New Capenna","230","","","","","","","","","",""
"4","0","Moment's Peace","Odyssey","251","","","","","","","","","",""
"4","0","Spell Queller","Pioneer Challenger Decks 2021","10","","","","","","","","","",""
"1","0","Murderous Rider // Swift End","Promo Pack: Throne of Eldraine","97p","","","","","","","","","",""
"1","0","Myr Retriever","Mirrodin","215","","","","","","","","","",""
"2","0","Searing Blaze","Worldwake","90","","","","","","","","","",""
"1","0","Night's Whisper","Innistrad: Crimson Vow Commander","133","","","","","","","","","",""
"1","0","Tormod's Crypt","Magic 2015 Core Set","237","","","foil","","","","","","",""
"1","0","Cordial Vampire","Innistrad: Crimson Vow Commander","125","","","","","","","","","",""
"1","0","Tyvar's Stand","Phyrexia: All Will Be One","190","","","foil","","","","","","",""
"1","0","Blood Artist","Innistrad: Crimson Vow Commander","119","","","","","","","","","",""
"1","0","Shadowgrange Archfiend","Innistrad: Crimson Vow Commander","22","","","","","","","","","",""
"1","0","Sol Ring","Innistrad: Crimson Vow Commander","168","","","","","","","","","",""
"2","0","Tear Asunder","Dominaria United","183","","","","","","","","","",""
"3","0","Elvish Warmaster","Jumpstart 2022","654","","","","","","","","","",""
"3","0","Reckless Impulse","Innistrad: Crimson Vow","174","","","","","","","","","",""
"1","0","Marwyn, the Nurturer","Dominaria","172","","","","","","","","","",""
"1","0","Galvanic Blast","Double Masters","125","","","","","","","","","",""
"1","0","Bojuka Bog","Commander 2013","278","","","","","","","","","",""
"1","0","Poison-Tip Archer","Kaldheim Commander","90","","","","","","","","","",""
"1","0","Reidane, God of the Worthy // Valkmira, Protector's Shield","Kaldheim","21","","","foil","","","","","","",""
"1","0","Glissa Sunslayer","Phyrexia: All Will Be One Promo Pack","202p","","","","","","","","","",""
"2","0","Gaea's Herald","Planeshift","80","","","","","","","","","",""
"3","0","Galvanic Blast","Scars of Mirrodin","91","","","","","","","","","",""
"1","0","Bojuka Bog","Commander 2017","238","","","","","","","","","",""
"1","0","The Eternal Wanderer","Phyrexia: All Will Be One","11","","","","","","","","","",""
"1","0","Counterspell","Classic Sixth Edition","61","","","","","","","","","",""
"1","0","Slippery Bogle","Eventide","160","","","","","","","","","",""
"1","0","Vodalian Hexcatcher","Dominaria United","75","","","","","","","","","",""
"1","0","Olivia's Wrath","Innistrad: Crimson Vow Commander","20","","","","","","","","","",""
"2","0","Karplusan Forest","Dominaria United","250","","","","","","","","","",""
"1","0","To Arms!","Guildpact","20","","","","","","","","","",""
"1","0","Elvish Archdruid","Commander Anthology","102","","","","","","","","","",""
"1","0","Bloodchief's Thirst","Zendikar Rising","388","","","","","","","","","",""
"1","0","Immaculate Magistrate","Lorwyn","219","","","","","","","","","",""
"1","0","Spell Pierce","WPN/Gateway","4","","","","","","","","","",""
"1","0","Distant Melody","Morningtide","32","","","","","","","","","",""
"1","0","Haughty Djinn","Dominaria United","52","","","","","","","","","",""
"1","0","Invoke Despair","Kamigawa: Neon Dynasty","101","","","foil","","","","","","",""
"6","0","Wear // Tear","Dragon's Maze","135","","","","","","","","","",""
"1","0","Desert","Adventures in the Forgotten Realms Commander","233","","","","","","","","","",""
"4","0","Elvish Clancaller","Core Set 2019","179","","","","","","","","","",""
"1","0","Faerie Macabre","Modern Masters","86","","","","","","","","","",""
"1","0","Merrow Harbinger","Lorwyn","73","","","","","","","","","",""
"1","0","Selfless Spirit","Commander Legends: Battle for Baldur's Gate","706","","","","","","","","","",""
"1","0","Thoughtcast","Mirrodin","54","","","","","","","","","",""
"2","0","Elvish Archdruid","Magic 2013","168","","","","","","","","","",""
