id,cost,link,name,name_long,qty,store,shipping
264285,4.0,https://www.thewarren.co.za/shop/card/careful-consideration,Consider,Careful Consideration - Modern Masters,1,The Warren,90
13605,4.0,https://luckshack.co.za/index.php?route=product/product&product_id=35373,Consider,Careful Consideration,6,Luckshack,90
150771,5.0,https://d20battleground.co.za/products/careful-consideration-time-spiral-remastered,Consider,Careful Consideration [Time Spiral Remastered] - Near Mint,5,D20Battleground,90
46787,6.3,https://www.battlewizards.co.za/careful-consideration-time-spiral/,Consider,Careful Consideration - Time Spiral,3,Battle Wizards,90
46788,6.3,https://www.battlewizards.co.za/careful-consideration-modern-masters/,Consider,Careful Consideration - Modern Masters,4,Battle Wizards,90
46790,6.3,https://www.battlewizards.co.za/careful-consideration-time-spiral-remastered/,Consider,Careful Consideration - Time Spiral Remastered,4,Battle Wizards,90
76664,8.0,https://store.topdecksa.co.za/products/careful-consideration?_pos=1&_psq=Consider&_ss=e&_v=1.0,Consider,Careful Consideration - Modern Masters,5,TopDeck,90
46789,9.9,https://www.battlewizards.co.za/careful-consideration-modern-masters-f/,Consider,Careful Consideration - Modern Masters [F],1,Battle Wizards,90
76665,10.0,https://store.topdecksa.co.za/products/careful-consideration?_pos=1&_psq=Consider&_ss=e&_v=1.0,Consider,Careful Consideration - Modern Masters (Foil),3,TopDeck,90
13606,116.0,https://luckshack.co.za/index.php?route=product/product&product_id=83409,Consider,Consider,6,Luckshack,90
253499,17.0,https://www.sadrobot.co.za/shop/dreams-grip/,Dream's Grip,Dream’s Grip - Mirrodin,6,SadRobot,90
433458,5.0,https://thestonedragon.co.za/product/echoing-truth-4/,Echoing Truth,Echoing Truth – Modern Masters,1,The Stone Dragon,90
15812,6.0,https://luckshack.co.za/index.php?route=product/product&product_id=62116,Echoing Truth,Echoing Truth,1,Luckshack,90
476048,8.0,https://d20battleground.co.za/products/echoing-truth-darksteel,Echoing Truth,Echoing Truth [Darksteel] - Near Mint,1,D20Battleground,90
275009,12.0,https://www.sadrobot.co.za/shop/echoing-truth/,Echoing Truth,Echoing Truth - Modern Masters,74,SadRobot,90
354104,41.0,https://store.topdecksa.co.za/products/echoing-truth?_pos=1&_psq=Echoing%20Truth&_ss=e&_v=1.0,Echoing Truth,Echoing Truth - Modern Masters (Foil),2,TopDeck,90
275008,45.0,https://www.sadrobot.co.za/shop/echoing-truth-foil/,Echoing Truth,Echoing Truth (Foil) - Modern Masters,1,SadRobot,90
