,id,cost,link,name,name_long,qty,store,shipping
0,76197,8.0,https://store.topdecksa.co.za/products/twiddle?_pos=1&_psq=Twiddle&_ss=e&_v=1.0,Twiddle,Twiddle - Fifth Edition,3,TopDeck,90
1,76198,8.0,https://store.topdecksa.co.za/products/twiddle?_pos=1&_psq=Twiddle&_ss=e&_v=1.0,Twiddle,Twiddle - Fourth Edition,2,TopDeck,90
2,464467,8.0,https://store.topdecksa.co.za/products/tome-scour?_pos=1&_psq=Tome%20Scour&_ss=e&_v=1.0,Tome Scour,Tome Scour - Magic 2010,1,TopDeck,90
3,464469,8.0,https://store.topdecksa.co.za/products/tome-scour?_pos=1&_psq=Tome%20Scour&_ss=e&_v=1.0,Tome Scour,Tome Scour - Magic 2011,1,TopDeck,90
4,147273,8.0,https://store.topdecksa.co.za/products/void-snare?_pos=1&_psq=Void%20Snare&_ss=e&_v=1.0,Void Snare,Void Snare - Magic 2015 Core Set,12,TopDeck,90
5,360807,8.0,https://store.topdecksa.co.za/products/spell-pierce?_pos=1&_psq=Spell%20Pierce&_ss=e&_v=1.0,Spell Pierce,Spell Pierce - Kamigawa: Neon Dynasty {C} #80,14,TopDeck,90
6,347370,8.0,https://store.topdecksa.co.za/products/empty-the-warrens?_pos=1&_psq=Empty%20the%20Warrens&_ss=e&_v=1.0&variant=33824382275,Empty the Warrens,Empty the Warrens - Modern Masters,1,TopDeck,90
7,506292,8.0,https://store.topdecksa.co.za/products/empty-the-warrens?_pos=1&_psq=Empty%20the%20Warrens&_ss=e&_v=1.0&variant=33824382275,Empty the Warrens,Empty the Warrens - Dominaria Remastered {C} #318 [Boosterfun],30,TopDeck,90
8,128789,8.0,https://store.topdecksa.co.za/products/aeve-progenitor-ooze?_pos=1&_psq=Aeve%2C%20Progenitor%20Ooze&_ss=e&_v=1.0,"Aeve, Progenitor Ooze","Aeve, Progenitor Ooze - Modern Horizons 2 {R} #148",16,TopDeck,90
9,493556,9.0,https://store.topdecksa.co.za/products/grapeshot?_pos=1&_psq=Grapeshot&_ss=e&_v=1.0,Grapeshot,Grapeshot - Dominaria Remastered {C} #125,43,TopDeck,90
10,360809,9.0,https://store.topdecksa.co.za/products/spell-pierce?_pos=1&_psq=Spell%20Pierce&_ss=e&_v=1.0,Spell Pierce,Spell Pierce - Double Masters 2022 {C} #63,13,TopDeck,90
11,494261,9.0,https://store.topdecksa.co.za/products/empty-the-warrens?_pos=1&_psq=Empty%20the%20Warrens&_ss=e&_v=1.0&variant=33824382275,Empty the Warrens,Empty the Warrens - Time Spiral,2,TopDeck,90
12,494262,9.0,https://store.topdecksa.co.za/products/empty-the-warrens?_pos=1&_psq=Empty%20the%20Warrens&_ss=e&_v=1.0&variant=33824382275,Empty the Warrens,Empty the Warrens - Dominaria Remastered {C} #118,52,TopDeck,90
13,360810,20.0,https://store.topdecksa.co.za/products/spell-pierce?_pos=1&_psq=Spell%20Pierce&_ss=e&_v=1.0,Spell Pierce,Spell Pierce - Double Masters 2022 {C} #63 (Foil),4,TopDeck,90
14,360808,21.0,https://store.topdecksa.co.za/products/spell-pierce?_pos=1&_psq=Spell%20Pierce&_ss=e&_v=1.0,Spell Pierce,Spell Pierce - Kamigawa: Neon Dynasty {C} #80 (Foil),5,TopDeck,90
15,494263,21.0,https://store.topdecksa.co.za/products/empty-the-warrens?_pos=1&_psq=Empty%20the%20Warrens&_ss=e&_v=1.0&variant=33824382275,Empty the Warrens,Empty the Warrens - Dominaria Remastered {C} #118 (Foil),9,TopDeck,90
16,354104,41.0,https://store.topdecksa.co.za/products/echoing-truth?_pos=1&_psq=Echoing%20Truth&_ss=e&_v=1.0,Echoing Truth,Echoing Truth - Modern Masters (Foil),2,TopDeck,90
17,464468,68.0,https://store.topdecksa.co.za/products/tome-scour?_pos=1&_psq=Tome%20Scour&_ss=e&_v=1.0,Tome Scour,Tome Scour - Magic 2010 (Foil),1,TopDeck,90
18,83458,135.0,https://store.topdecksa.co.za/products/tome-scour?_pos=1&_psq=Tome%20Scour&_ss=e&_v=1.0,Tome Scour,Tome Scour - Magic 2011 (Foil) (French),1,TopDeck,90
19,493456,135.0,https://store.topdecksa.co.za/products/leyline-of-sanctity?_pos=1&_psq=Leyline%20of%20Sanctity&_ss=e&_v=1.0&variant=33826707651,Leyline of Sanctity,"Leyline of Sanctity - Core Set 2020 Promos {R} #26p [Promopack, Stamped]",1,TopDeck,90
20,525076,145.0,https://store.topdecksa.co.za/products/consider?_pos=1&_psq=Consider&_ss=e&_v=1.0,Consider,Consider - Innistrad: Midnight Hunt {C} #388 (Foil) [Promopack],1,TopDeck,90
21,114903,205.0,https://store.topdecksa.co.za/products/pithing-needle?_pos=1&_psq=Pithing%20Needle&_ss=e&_v=1.0,Pithing Needle,Pithing Needle - Magic 2010 (Foil),1,TopDeck,90
22,360804,315.0,https://store.topdecksa.co.za/products/spell-pierce?_pos=1&_psq=Spell%20Pierce&_ss=e&_v=1.0,Spell Pierce,Spell Pierce - Zendikar (Foil),5,TopDeck,90
23,527805,415.0,https://store.topdecksa.co.za/products/underworld-breach?_pos=1&_psq=Underworld%20Breach&_ss=e&_v=1.0,Underworld Breach,Underworld Breach - Theros Beyond Death {R} #161,1,TopDeck,90
24,212576,425.0,https://store.topdecksa.co.za/products/watery-grave?_pos=1&_psq=Watery%20Grave&_ss=e&_v=1.0,Watery Grave,Watery Grave - Ravnica: City of Guilds,2,TopDeck,90
25,508241,485.0,https://store.topdecksa.co.za/products/scalding-tarn?_pos=1&_psq=Scalding%20Tarn&_ss=e&_v=1.0,Scalding Tarn,Scalding Tarn - Zendikar,4,TopDeck,90
26,126309,670.0,https://store.topdecksa.co.za/products/steam-vents?_pos=1&_psq=Steam%20Vents&_ss=e&_v=1.0,Steam Vents,Steam Vents - Guildpact,6,TopDeck,90
27,528451,680.0,https://store.topdecksa.co.za/products/flooded-strand?_pos=1&_psq=Flooded%20Strand&_ss=e&_v=1.0,Flooded Strand,Flooded Strand - Khans of Tarkir,3,TopDeck,90
28,506850,835.0,https://store.topdecksa.co.za/products/scalding-tarn?_pos=1&_psq=Scalding%20Tarn&_ss=e&_v=1.0,Scalding Tarn,Scalding Tarn - Zendikar Rising Expeditions {M} #7,1,TopDeck,90
29,94309,1470.0,https://store.topdecksa.co.za/products/flooded-strand?_pos=1&_psq=Flooded%20Strand&_ss=e&_v=1.0,Flooded Strand,Flooded Strand - Nationals Promos,1,TopDeck,90
30,76483,4325.0,https://store.topdecksa.co.za/products/mishras-bauble?_pos=1&_psq=Mishra%27s%20Bauble&_ss=e&_v=1.0,Mishra's Bauble,Mishra's Bauble - Coldsnap (Foil),1,TopDeck,90
31,307827,3.0,https://www.thewarren.co.za/shop/card/void-snare,Void Snare,Void Snare - Magic 2015 Core Set,4,The Warren,90
32,506296,3.0,https://www.thewarren.co.za/shop/card/empty-the-warrens,Empty the Warrens,Empty the Warrens - Dominaria Remastered,3,The Warren,90
33,204035,4.0,https://www.thewarren.co.za/shop/card/empty-the-warrens,Empty the Warrens,Empty the Warrens - Time Spiral Remastered,6,The Warren,90
34,421524,5.0,https://www.thewarren.co.za/shop/card/spell-pierce,Spell Pierce,Spell Pierce - Ixalan,2,The Warren,90
35,506297,5.0,https://www.thewarren.co.za/shop/card/empty-the-warrens,Empty the Warrens,Empty the Warrens - Dominaria Remastered(ALTERNATE ART) (#Retro),1,The Warren,90
36,535213,6.0,https://www.thewarren.co.za/shop/card/twiddle,Twiddle,Twiddle - Fifth Edition,1,The Warren,90
