Card_Names,Qty
Aether Web,2
Amrou Seekers,4
Apothecary Initiate,1
Ballynock Trapper,1
Beacon Hawk,1
Carom,2
Chaotic Backlash,1
Children of Korlis,1
Cloudchaser Kestrel,2
Conflagrate,1
D'Avenant Healer,1
Dawn Charm,2
Dedicated Martyr,1
Detainment Spell,1
Dream Fracture,1
Druid of the Anima,1
Embolden,3
Excommunicate,2
Fertilid,1
Foriysian Interceptor,1
Freewind Equenaut,1
Glass Asp,1
Goldmeadow Harrier,2
Hallow,1
Herd Gnarr,1
Inquisitor's Snare,1
Lead Astray,2
Mending Hands,1
Mine Excavation,2
Mourning Thrull,1
Neck Snap,1
Orim's Touch,1
Phantom Wurm,1
Pooling Venom,1
Prismatic Strands,3
Redeem,2
Reroute,1
Riot Spikes,2
Skred,1
Soaring Hope,2
Soot Imp,1
Sunlance,1
Surge of Thoughtweft,2
Temporal Isolation,2
Tilling Treefolk,1
Triclopean Sight,4
Agony Warp,1
Ambitious Dragonborn,1
Annoyed Altisaur,1
Arachnus Web,1
"Baba Lysaga, Night Witch",1
Brindle Shoat,1
Burnished Hart,1
"Cadira, Caller of the Small",1
Carnelian Orb of Dragonkind,1
Cast Down,1
Coiling Oracle,1
Dack's Duplicate,1
Deranged Assistant,1
Draconic Lore,1
Drillworks Mole,1
Eel Umbra,1
Elder Brain,1
Fang Dragon // Forktail Sweep,1
Flaming Fist Officer,1
Forsworn Paladin,1
Galvanic Bombardment,4
Glowspore Shaman,1
"Gluntch, the Bestower",1
Gnarlback Rhino,1
Gods Willing,1
"Halsin, Emerald Archdruid",1
Hard Evidence,1
Hydroid Krasis,1
Incriminate,1
Jade Orb of Dragonkind,1
"Jan Jansen, Chaos Crafter",1
Join the Dance,1
Knightly Valor,1
Lapis Orb of Dragonkind,1
Lava Coil,1
Marching Duodrone,1
Martial Glory,1
Master Chef,1
Mistfire Adept,1
Mold Folk,1
Momentary Blink,1
Purphoros's Emissary,1
Rasaad yn Bashir,1
Scion of Halaster,1
Scouting Hawk,1
Seekers' Squire,1
Settle Beyond Reality,1
Severed Strands,1
Skeleton Archer,1
Slaughter the Strong,1
Stoneskin,1
Storm Fleet Pyromancer,1
Strands of Undeath,1
Supernatural Stamina,1
Tavern Brawler,1
Tenth District Legionnaire,1
Tiamat's Fanatics,1
"Viconia, Drow Apostate",1
"Wyll, Blade of Frontiers",1
